order_date,day_name,Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
2016-03-20,Sunday,Onion Chutney,1,0.5,0.5,0.5,2,1.0,1.0
2016-03-20,Sunday,Rogon,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Plain Papadum,1,0.8,0.8,0.8,2,1.6,1.6
2016-03-20,Sunday,Plain Rice,2,5.9,2.95,2.95,2,5.9,2.95
2016-03-20,Sunday,Red Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-20,Sunday,Saag Dall,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-20,Sunday,Spicy Papadum,1,0.8,0.8,0.8,1,0.8,0.8
2016-03-20,Sunday,Lamb Biryani,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-20,Sunday,Plain Naan,2,5.2,2.6,2.6,2,5.2,2.6
2016-03-20,Sunday,Korma,2,17.9,8.95,8.95,3,26.849999999999998,13.42
2016-03-20,Sunday,Lemon Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-20,Sunday,Keema Naan,2,5.9,2.95,2.95,2,5.9,2.95
2016-03-20,Sunday,King Prawn Puree,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-20,Sunday,Bengal King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-20,Sunday,Bhuna,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Bombay Aloo,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-20,Sunday,COBRA (660ML),1,5.95,5.95,5.95,1,5.95,5.95
2016-03-20,Sunday,Chicken Biryani,2,19.9,9.95,9.95,2,19.9,9.95
2016-03-20,Sunday,Chicken Chaat,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-20,Sunday,Chicken Balti,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-20,Sunday,Chicken Tikka Garlic,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Chicken Tikka Jalfrezi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Chicken Tikka Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-20,Sunday,Diet Coke 1.5 ltr,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-20,Sunday,Egg Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-20,Sunday,Garlic Naan,2,5.9,2.95,2.95,3,8.850000000000001,4.43
2016-03-20,Sunday,Chicken Tikka Biryani,2,21.9,10.95,10.95,3,32.849999999999994,16.42
2016-03-21,Monday,Pilau Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-21,Monday,Tandoori Roti,1,2.6,2.6,2.6,1,2.6,2.6
2016-03-21,Monday,Tandoori Fish,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-21,Monday,Saag Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-21,Monday,Plain Naan,1,2.6,2.6,2.6,1,2.6,2.6
2016-03-21,Monday,Mushroom Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-21,Monday,Mixed Starter,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-21,Monday,Chicken Tikka Jalfrezi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-21,Monday,Chicken Tikka Chilli Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-21,Monday,Chicken Tikka Balti,1,10.95,10.95,10.95,1,10.95,10.95
2016-03-21,Monday,Bhuna,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-21,Monday,Bengal King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-21,Monday,Aloo Gobi,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-21,Monday,Lamb Shashlick Curry,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-22,Tuesday,Chicken Tikka Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-22,Tuesday,Vindaloo,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-22,Tuesday,Plain Rice,2,5.9,2.95,2.95,2,5.9,2.95
2016-03-22,Tuesday,Plain Naan,1,2.6,2.6,2.6,1,2.6,2.6
2016-03-22,Tuesday,Lamb Tikka,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-22,Tuesday,Chicken Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-22,Tuesday,Chicken Pakora,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-22,Tuesday,Chicken Hari Mirch,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-22,Tuesday,Chicken Tikka Biryani,1,10.95,10.95,10.95,1,10.95,10.95
2016-03-23,Wednesday,Pilau Rice,3,8.850000000000001,2.9500000000000006,2.95,3,8.850000000000001,2.95
2016-03-23,Wednesday,Saag Paneer,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-23,Wednesday,Plain Naan,2,5.2,2.6,2.6,2,5.2,2.6
2016-03-23,Wednesday,Onion Chutney,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-23,Wednesday,Red Sauce,2,1.0,0.5,0.5,2,1.0,0.5
2016-03-23,Wednesday,Royal Paneer,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-23,Wednesday,Plain Papadum,3,2.4000000000000004,0.8000000000000002,0.8,8,6.4,2.13
2016-03-23,Wednesday,Mint Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-23,Wednesday,Peshwari Naan,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-23,Wednesday,Lamb Tikka Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-23,Wednesday,Garlic Naan,2,5.9,2.95,2.95,2,5.9,2.95
2016-03-23,Wednesday,Dhansak Sauce,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-23,Wednesday,Curry,1,7.95,7.95,7.95,1,7.95,7.95
